BRAND_ID,TERRITORY_ID,PRIMARY_CATEGORY,DOMAIN_AUTHORITY,TOTAL_PRODUCTS,TOTAL_PRESS_RELEASES,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,IS_AN_AFFILIATE
30287,1,34,48.0,32,2,10,True,True,True,True,False
30289,4,1195,41.0,981,26,4,True,False,True,True,False
30305,1,1550,62.0,2322,0,0,False,False,False,False,False
30306,1,169,37.0,222,0,0,False,False,False,False,False
30331,1,153,14.0,206,6,2,True,True,True,True,True
30366,1,184,46.0,197,0,0,True,True,True,True,False
30370,1,525,39.0,985,5,0,True,True,True,True,False
30436,1,635,36.0,417,3,2,True,True,False,True,False
30439,1,102,49.0,111,1,0,False,False,False,False,False
30470,1,130,84.0,145,1,0,False,False,False,False,False
30516,1,209,30.0,256,13,1,True,True,False,True,False
30533,1,188,48.0,294,20,0,True,True,True,True,False
30550,4,77,21.0,150,0,0,True,False,False,False,False
30825,1,549,28.0,761,2,0,False,False,False,False,True
30850,1,190,29.0,234,4,0,False,False,False,False,False
30934,4,82,16.0,80,18,0,True,True,True,True,False
30937,1,1898,35.0,3085,14,0,True,True,True,True,True
30960,4,387,20.0,229,1,0,True,True,True,True,False
30973,1,490,39.0,951,21,0,True,False,True,True,False
30990,4,487,21.0,252,3,1,True,False,True,True,False
30996,3,192,55.0,181,14,0,True,False,False,True,True
31112,1,51,24.0,51,2,0,True,True,True,True,False
31142,1,176,24.0,151,3,0,True,True,True,True,False
31178,1,39,24.0,44,1,0,True,True,True,True,False
31194,1,763,24.0,592,17,2,True,False,True,True,False
31237,1,549,49.0,938,43,2,True,True,True,True,False
31239,1,588,35.0,585,37,0,True,True,True,True,False
31413,1,5,23.0,17,0,0,False,False,False,False,False
31437,1,226,56.0,382,33,0,True,True,False,True,False
31445,1,20,19.0,10,13,1,False,True,False,True,True
31526,1,161,28.0,244,0,0,True,False,False,True,False
31618,1,422,27.0,393,0,0,False,True,False,True,True
31682,1,528,57.0,1562,0,0,True,False,True,True,False
31683,4,100,20.0,154,2,0,True,False,True,True,True
31695,4,524,26.0,744,35,0,False,False,False,True,False
31706,4,164,22.0,110,1,1,True,False,True,True,False
31729,1,380,55.0,750,15,8,True,True,True,True,False
31737,1,160,17.0,88,0,0,False,False,False,False,False
31738,1,9,13.0,9,1,0,False,False,False,False,False
31743,4,117,21.0,99,5,0,True,True,True,True,True
31809,1,86,17.0,116,9,1,True,True,False,True,True
31825,4,163,30.0,675,7,1,True,False,True,True,False
31963,1,253,23.0,246,13,2,False,False,True,True,True
32021,1,867,49.0,2550,52,1,True,True,True,True,False
32105,1,22,84.0,95,1,0,False,False,False,False,False
32139,1,407,84.0,673,0,0,False,False,False,False,False
32215,1,527,37.0,473,0,0,False,False,False,False,False
32229,1,1,13.0,1,0,1,False,False,False,False,False
32275,3,60,14.0,75,6,0,True,False,True,True,False
32297,1,52,27.0,80,0,0,True,True,True,True,False
32338,1,230,30.0,343,26,0,False,False,False,False,False
32343,1,1237,34.0,794,33,0,True,True,True,True,False
32417,4,74,14.0,60,46,1,False,False,False,True,True
32423,1,277,41.0,336,9,0,True,False,True,True,False
32591,1,329,26.0,423,21,1,True,True,True,True,True
32656,1,526,42.0,1089,30,0,False,False,False,False,False
32658,1,763,34.0,1044,54,3,True,True,False,True,False
32689,1,4,9.0,9,1,1,True,False,False,True,False
32692,1,811,57.0,1437,20,12,True,False,True,True,False
32702,1,476,49.0,730,48,18,True,False,True,False,False
32727,1,922,33.0,956,24,0,True,False,True,True,False
32730,1,421,35.0,1005,9,0,False,False,False,False,True
32763,4,213,27.0,258,3,0,True,False,True,True,False
32777,1,3398,53.0,2000,23,0,True,False,False,True,False
32782,1,144,23.0,201,0,1,True,False,True,True,False
32810,3,64,26.0,73,1,0,True,False,True,True,True
32820,1,421,27.0,335,16,0,True,False,False,True,False
32829,1,59,56.0,129,16,0,True,True,True,True,False
32870,1,391,49.0,698,8,0,False,False,False,True,True
32984,1,24,13.0,99,2,1,False,False,False,False,False
33008,1,147,52.0,113,0,0,False,False,False,False,False
33070,1,76,10.0,138,1,0,False,False,False,True,True
33083,1,1514,32.0,1651,5,1,True,True,False,True,True
33132,1,408,29.0,918,9,1,False,False,False,False,True
33136,1,54,18.0,49,3,0,False,False,False,True,False
33163,5,225,9.0,126,9,0,False,False,False,True,False
33165,1,317,33.0,255,0,0,False,False,False,False,False
33167,1,56,12.0,120,7,1,True,False,False,True,False
33243,1,671,53.0,1852,58,0,True,True,True,True,False
33275,1,247,30.0,250,25,0,True,False,True,True,False
33286,1,222,25.0,424,13,3,True,False,True,True,True
33295,1,425,52.0,318,0,0,False,False,False,False,False
33302,1,71,44.0,139,3,0,True,True,True,True,False
33321,1,177,19.0,254,0,0,False,False,False,False,True
33333,1,3,14.0,3,0,0,True,False,False,True,False
33378,1,135,24.0,78,0,0,False,False,False,False,False
33496,1,44,14.0,87,1,3,False,False,False,True,True
33537,5,25,24.0,25,1,0,False,False,False,False,False
33539,1,272,19.0,280,2,0,True,False,True,True,True
33541,1,92,21.0,141,24,0,False,False,False,False,False
33556,1,117,16.0,106,0,0,False,False,False,False,False
33598,1,153,14.0,166,11,2,True,False,False,True,True
33646,1,13,54.0,19,1,0,True,True,True,True,False
33695,1,598,60.0,1691,0,0,True,True,True,True,False
33723,1,98,26.0,314,12,0,True,True,True,True,True
33737,1,189,39.0,179,17,0,True,True,True,True,False
33746,1,12,16.0,46,0,0,False,True,True,True,True
33762,3,27,20.0,91,0,1,True,False,True,True,False
33794,1,401,62.0,280,4,0,True,True,True,True,False
33795,1,46,20.0,54,1,0,False,False,True,True,False
33806,1,276,16.0,288,2,1,True,False,True,True,False
33853,1,374,33.0,362,31,0,True,True,True,True,False
33863,1,183,12.0,119,0,0,True,False,True,True,False
33953,1,49,24.0,48,0,0,True,False,True,True,False
33966,1,25,12.0,14,0,0,False,False,False,False,False
33968,1,10,40.0,10,1,0,False,False,False,False,False
33994,1,112,20.0,155,0,0,True,True,True,True,False
34005,1,303,14.0,228,0,0,True,True,False,True,True
34006,1,44,31.0,71,0,0,False,False,False,False,False
34021,1,31,13.0,167,3,0,False,False,False,False,False
34070,1,138,23.0,115,0,0,True,False,True,True,False
34128,1,338,28.0,412,0,4,True,False,True,True,False
34164,1,155,34.0,222,0,0,True,False,True,True,False
34188,1,117,16.0,97,0,0,False,False,False,False,False
34210,4,165,17.0,100,15,0,False,False,False,False,False
34233,1,469,48.0,465,0,0,False,False,False,False,False
34243,4,6,12.0,7,0,0,False,False,False,False,False
34260,1,244,43.0,253,33,0,False,False,False,False,False
34318,1,27,10.0,24,0,2,False,False,False,True,False
34402,4,351,29.0,255,44,0,True,False,True,True,False
34532,2,101,53.0,130,3,0,False,False,False,False,False
34550,1,121,68.0,211,3,0,True,True,False,True,False
34554,1,376,13.0,423,40,0,False,False,False,False,True
34565,1,400,28.0,418,28,1,True,True,True,True,False
34583,4,248,16.0,202,1,0,True,False,True,True,False
34618,1,52,35.0,87,0,0,False,False,False,False,False
34623,4,612,29.0,648,75,0,True,False,False,True,False
34624,1,77,18.0,80,3,5,True,True,False,True,True
34676,1,288,38.0,278,16,0,True,True,True,True,True
34693,1,106,35.0,144,9,0,False,False,False,False,False
34751,5,40,15.0,61,1,0,True,False,False,True,False
34771,4,50,8.0,41,6,1,False,False,False,False,False
34777,1,973,29.0,1500,9,0,True,False,True,True,True
34778,1,768,61.0,2389,39,0,False,False,True,True,False
34788,4,192,14.0,140,0,0,False,False,False,False,False
34859,1,121,41.0,110,18,0,False,False,False,False,False
34872,1,940,39.0,1001,19,0,True,True,True,True,False
34957,1,171,15.0,323,1,0,False,False,False,False,False
34959,1,248,21.0,410,26,0,True,True,True,True,True
35009,1,72,47.0,50,0,0,False,False,False,False,False
35034,1,83,41.0,101,0,0,False,False,False,False,False
35036,1,438,15.0,276,2,0,True,True,True,True,True
