BRAND_ID,TERRITORY_ID,PRIMARY_CATEGORY,DOMAIN_AUTHORITY,TOTAL_PRODUCTS,TOTAL_PRESS_RELEASES,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,IS_AN_AFFILIATE
131,1,1582,45.0,1618,203,11,0,0,0,0,0
490,1,556,52.0,678,5,1,1,0,1,1,1
820,1,269,46.0,224,19,1,1,1,1,0,0
918,1,200,42.0,200,50,0,1,1,1,1,0
1105,1,417,41.0,369,2,1,1,0,0,1,0
2452,1,32,32.0,25,25,0,0,1,0,0,0
2497,1,8087,50.0,30961,81,1,1,1,1,1,0
3467,1,222,36.0,159,0,0,0,0,0,0,0
3527,1,17,17.0,73,81,0,1,1,1,1,0
3655,1,44,73.0,177,0,1,1,1,1,1,0
3685,1,916,54.0,1884,2,0,1,1,1,1,0
3887,3,139,36.0,152,6,0,0,1,0,0,0
4615,1,2110,57.0,4130,13,6,1,1,0,1,0
4793,1,50,32.0,99,6,1,1,1,1,1,1
5045,3,235,23.0,574,6,0,1,1,0,1,0
5309,1,2352,48.0,4856,45,1,1,1,1,1,0
5853,3,1332,34.0,2405,5,1,1,1,0,0,0
6273,1,72,27.0,113,28,0,1,1,1,1,0
6807,1,685,45.0,616,65,1,1,1,1,1,1
6991,1,30,13.0,40,0,0,0,1,0,0,0
7263,1,47,34.0,53,1,0,1,0,1,1,0
7487,1,326,26.0,217,1,0,0,0,0,0,0
8527,3,574,18.0,1101,91,0,1,0,0,1,0
8685,1,588,37.0,1278,41,1,1,1,1,1,1
8895,4,21,67.0,21,1,0,0,0,0,0,0
8973,4,103,24.0,199,37,0,1,1,1,1,0
9129,4,999,29.0,996,7,3,1,0,1,1,0
9141,4,74,26.0,114,15,0,1,1,0,0,0
9169,4,129,27.0,165,113,0,1,0,0,1,0
9481,4,319,34.0,290,36,2,1,0,1,1,0
9587,1,358,16.0,363,23,0,1,1,1,1,1
9619,4,176,32.0,167,0,0,0,0,0,0,0
9731,4,235,34.0,250,2,0,0,0,0,0,0
9797,4,92,33.0,113,0,0,0,0,0,0,0
9819,4,522,35.0,809,0,1,0,0,0,1,0
9827,4,198,66.0,226,0,0,0,0,0,0,0
10339,1,77,18.0,180,50,1,1,0,1,1,0
10435,1,169,30.0,265,1,2,1,1,1,1,0
10812,1,119,25.0,98,13,0,1,1,0,1,0
10836,4,167,23.0,97,0,2,1,0,0,1,0
11287,1,1193,61.0,2636,0,0,0,0,0,0,0
12795,3,2109,47.0,3729,29,0,1,0,1,1,0
13475,1,43,25.0,24,2,0,1,1,1,1,0
14021,1,184,22.0,92,0,0,0,0,0,0,1
14253,4,32,19.0,75,4,0,1,1,0,0,0
14308,4,308,40.0,819,0,1,1,1,1,1,1
14327,9,125,33.0,246,21,0,1,1,0,1,0
14717,1,516,42.0,847,0,0,1,1,0,1,0
14731,3,1191,27.0,3266,48,2,1,0,1,1,0
14782,3,45,28.0,81,25,2,1,0,1,1,1
14837,4,245,27.0,267,72,2,1,0,1,1,0
14841,4,161,28.0,249,64,0,1,1,1,1,0
15081,1,2624,43.0,3990,20,0,1,1,1,1,1
15210,1,937,50.0,1124,50,3,1,1,1,1,0
15466,1,1324,55.0,2817,2,0,1,1,1,1,0
15547,9,151,32.0,289,48,0,1,1,1,1,0
