USER_ID,TERRITORY_ID,TYPE_IN_HOUSE,TYPE_FREELANCE,TOTAL_DOWNLOADS,TOTAL_COLLABORATIONS,HAS_FACEBOOK,HAS_TWITTER,HAS_PINTEREST,HAS_INSTAGRAM,USES_AFFILIATES
572,1,False,True,10,0,False,False,False,False,False
573,1,False,True,19,0,False,False,False,False,False
574,1,False,True,68,0,False,False,False,False,False
575,1,False,True,84,0,False,False,False,False,False
576,1,False,True,860,0,False,False,False,False,False
578,1,False,True,2636,0,False,False,False,False,False
581,1,True,False,22,0,False,False,False,False,False
588,1,False,True,5,0,False,False,False,False,False
590,1,False,True,24,0,False,False,False,False,False
596,1,False,True,1,0,False,False,False,False,False
599,1,False,True,6,0,False,False,False,False,False
607,1,False,True,107,0,False,False,False,False,False
610,1,False,True,3,0,False,False,False,False,False
613,1,False,True,532,0,False,False,False,False,False
614,1,False,True,22,0,False,False,False,False,False
617,1,False,True,56,0,False,False,False,False,False
619,1,False,True,29,0,False,False,False,False,False
627,1,False,True,183,0,False,False,False,False,False
629,1,False,True,41,0,False,False,False,False,False
633,1,False,True,1,0,False,False,False,False,False
636,1,False,True,294,0,False,False,False,False,False
639,1,False,True,218,0,False,False,False,False,False
641,1,False,True,441,0,False,False,False,False,False
642,1,False,True,53,0,False,False,False,False,False
645,1,False,True,2,0,False,False,False,False,False
646,1,False,True,90,0,False,False,False,False,False
648,1,False,True,47,0,False,False,False,False,False
650,1,True,False,1866,0,False,False,False,False,False
651,1,False,True,11,0,False,False,False,False,False
658,1,False,True,37,0,False,False,False,False,False
661,1,False,True,100,0,False,False,False,False,False
664,1,False,True,780,0,False,False,False,False,False
674,1,False,True,216,0,False,False,False,False,False
677,1,False,True,27,0,False,False,False,False,False
685,1,True,False,1145,0,False,False,False,False,False
690,1,False,True,52,0,True,True,True,True,False
691,1,False,True,15,0,False,False,False,False,False
700,1,True,False,8,0,False,False,False,False,False
703,1,False,True,41,0,False,False,False,False,False
705,1,False,True,132,0,False,False,True,True,False
707,1,False,True,344,0,False,False,False,False,False
709,1,False,True,14,0,False,False,False,False,False
715,1,False,True,4,0,False,False,False,False,False
719,1,False,True,4,0,False,False,False,False,False
728,1,True,False,251,0,False,False,False,False,False
730,1,False,True,256,0,False,False,False,False,False
751,1,False,True,117,0,False,False,False,False,False
754,1,False,True,2,0,False,False,False,False,False
766,1,False,True,5,0,False,False,False,False,False
778,1,False,True,47,0,False,False,False,False,False
802,1,False,True,7,0,False,False,False,False,False
811,1,False,True,1,0,False,False,False,False,False
813,1,False,True,254,0,False,False,False,False,False
814,1,False,True,1,0,False,False,False,False,False
817,1,False,True,23,0,False,False,False,False,False
818,1,False,True,16,0,False,False,False,False,False
835,1,False,True,332,0,False,False,False,False,False
836,1,False,True,36,0,False,False,False,False,False
840,1,False,True,8,0,False,False,False,False,False
843,1,False,True,7,0,False,False,False,False,False
844,1,False,True,65,0,False,False,False,False,False
851,1,False,True,65,0,False,False,False,False,False
853,1,False,True,1,0,False,False,False,False,False
865,1,False,True,1,0,False,False,False,False,False
871,1,False,True,177,0,False,False,False,False,False
878,1,True,False,35,0,False,False,False,False,False
880,1,False,True,23,0,False,False,False,False,False
887,1,False,True,4,0,False,False,False,False,False
901,1,False,True,9,0,False,False,False,False,False
906,1,False,True,1,0,False,False,False,False,False
922,1,False,True,62,0,False,False,False,False,False
923,1,False,True,14,0,False,False,False,False,False
924,1,True,False,30,0,False,False,False,False,False
934,1,False,True,961,0,False,False,False,False,False
937,1,False,True,16,0,False,False,False,False,False
941,1,False,True,623,0,False,True,False,True,False
953,1,False,True,2802,0,False,False,False,False,False
954,1,False,True,53,0,False,False,False,False,False
960,1,False,True,7,0,False,False,False,False,False
961,1,False,True,104,0,False,False,False,False,False
965,1,False,True,8,0,False,False,False,False,False
976,1,False,True,2,0,False,False,False,False,False
987,1,False,True,72,0,False,False,False,False,False
996,1,False,True,514,0,False,False,False,False,False
997,1,False,True,25,0,False,False,False,False,False
1002,1,False,True,85,0,False,False,False,False,False
1004,1,False,True,5,0,False,False,False,False,False
1005,1,True,False,431,0,False,False,False,False,False
1007,1,False,True,12,0,False,False,False,False,False
1009,1,False,True,6,0,False,False,False,False,False
1010,1,False,True,146,0,False,False,False,False,False
1013,1,False,True,246,0,False,False,False,False,False
1019,1,False,True,17,0,False,False,False,False,False
1025,1,True,False,39,0,False,False,False,False,False
1030,1,False,True,71,0,False,False,False,False,False
1045,1,False,True,536,0,False,False,False,False,False
1047,1,False,True,879,0,False,False,False,False,False
1048,1,False,True,88,0,False,False,False,False,False
1049,1,False,True,7,0,False,False,False,False,False
1052,1,False,True,112,0,False,False,False,False,False
1059,1,False,True,2,0,False,False,False,False,False
1062,1,False,True,27,0,False,False,False,False,False
1063,1,True,False,336,0,False,False,False,False,False
1070,1,False,True,2026,0,False,False,False,False,False
1072,1,False,True,32,0,False,False,False,False,False
1073,1,False,True,11,0,False,False,False,False,False
1076,1,False,True,42,0,False,False,False,False,False
1088,1,False,True,106,0,False,False,False,False,False
1089,1,True,False,1524,0,False,False,False,False,False
1095,1,False,True,10,0,False,False,False,False,False
1097,1,False,True,4,0,False,False,False,False,False
1098,1,False,True,218,0,False,False,False,False,False
1099,1,False,True,243,0,False,False,False,False,False
1106,1,False,True,1,0,False,False,False,False,False
1107,1,False,True,11,0,False,False,False,False,False
1112,1,False,True,56,0,False,False,False,False,False
1113,1,False,True,2,0,False,False,False,False,False
1114,1,False,True,209,0,True,True,False,True,False
1119,1,False,True,940,0,False,False,False,False,False
1125,1,False,True,17,0,False,False,False,False,False
1126,1,False,True,6,0,False,False,False,False,False
1127,1,False,True,1,0,False,False,False,False,False
1128,1,True,True,38,0,False,False,False,False,False
1129,1,False,True,14,0,False,False,False,False,False
1133,1,False,True,28,0,False,False,False,False,False
1137,1,True,False,1257,0,False,False,False,False,False
1139,1,False,True,1,0,False,False,False,False,False
1140,1,False,True,88,0,False,False,False,False,False
